timestamp,temperature,humidity,alert,device,city,lat,lon
2025-07-24 22:17:46,33.26,88.98,NORMAL,device002,,,
2025-07-24 22:17:46,38.45,87.06,NORMAL,device003,,,
2025-07-24 22:17:53,25.82,82.51,NORMAL,device003,,,
2025-07-24 22:17:53,32.58,51.33,NORMAL,device002,,,
2025-07-24 22:17:59,23.95,57.26,NORMAL,device003,,,
2025-07-24 22:17:59,40.06,82.6,HIGH,device002,,,
2025-07-24 22:18:05,22.13,62.17,NORMAL,device003,,,
2025-07-24 22:18:05,41.7,40.3,HIGH,device002,,,
2025-07-24 22:18:11,35.24,68.17,NORMAL,device003,,,
2025-07-24 22:18:11,20.69,80.9,NORMAL,device002,,,
2025-07-24 22:18:17,31.91,70.4,NORMAL,device003,,,
2025-07-24 22:18:17,42.85,58.64,HIGH,device002,,,
2025-07-24 22:18:23,29.09,57.04,NORMAL,device003,,,
2025-07-24 22:18:23,41.14,55.96,HIGH,device002,,,
2025-07-24 22:18:29,45.06,31.76,HIGH,device003,,,
2025-07-24 22:18:29,25.61,45.4,NORMAL,device002,,,
2025-07-24 22:18:35,42.76,66.57,HIGH,device003,,,
2025-07-24 22:18:35,33.97,70.68,NORMAL,device002,,,
2025-07-24 22:18:41,49.92,78.07,HIGH,device003,,,
2025-07-24 22:18:41,40.18,84.27,HIGH,device002,,,
2025-07-24 22:18:48,43.01,43.54,HIGH,device002,,,
2025-07-24 22:18:47,28.9,51.41,NORMAL,device003,,,
2025-07-24 22:18:54,41.95,67.86,HIGH,device003,,,
2025-07-24 22:18:54,30.17,82.15,NORMAL,device002,,,
2025-07-24 22:19:00,39.42,81.08,NORMAL,device002,,,
2025-07-24 22:19:00,49.31,62.97,HIGH,device003,,,
2025-07-24 22:19:06,28.39,72.86,NORMAL,device003,,,
2025-07-24 22:19:06,34.59,32.48,NORMAL,device002,,,
2025-07-24 22:19:12,29.71,52.03,NORMAL,device003,,,
2025-07-24 22:19:12,27.03,74.07,NORMAL,device002,,,
2025-07-24 22:19:18,39.01,82.72,NORMAL,device003,,,
2025-07-24 22:19:18,42.3,78.26,HIGH,device002,,,
2025-07-24 22:19:24,46.75,63.01,HIGH,device003,,,
2025-07-24 22:19:25,44.12,54.47,HIGH,device002,,,
2025-07-24 22:19:31,48.98,44.77,HIGH,device003,,,
2025-07-24 22:19:31,39.06,89.77,NORMAL,device002,,,
2025-07-24 22:19:37,48.41,46.65,HIGH,device003,,,
2025-07-24 22:19:37,35.01,49.34,NORMAL,device002,,,
2025-07-24 22:19:43,29.61,63.26,NORMAL,device002,,,
2025-07-24 22:19:43,39.65,59.38,NORMAL,device003,,,
2025-07-24 22:19:49,22.46,83.53,NORMAL,device002,,,
2025-07-24 22:19:49,22.13,46.84,NORMAL,device003,,,
2025-07-24 22:19:56,25.68,68.8,NORMAL,device002,,,
2025-07-24 22:19:56,35.12,39.58,NORMAL,device003,,,
2025-07-24 22:20:03,26.78,62.3,NORMAL,device002,,,
2025-07-24 22:20:03,21.65,69.43,NORMAL,device003,,,
2025-07-24 22:20:10,49.38,61.12,HIGH,device002,,,
2025-07-24 22:20:10,44.52,37.91,HIGH,device003,,,
2025-07-24 22:20:16,25.44,58.23,NORMAL,device002,,,
2025-07-24 22:20:16,35.62,57.64,NORMAL,device003,,,
2025-07-24 22:20:22,46.81,40.73,HIGH,device002,,,
2025-07-24 22:20:22,45.98,70.6,HIGH,device003,,,
2025-07-24 22:20:28,35.5,35.07,NORMAL,device002,,,
2025-07-24 22:20:28,31.65,48.36,NORMAL,device003,,,
2025-07-24 22:20:34,23.03,36.51,NORMAL,device002,,,
2025-07-24 22:20:34,49.03,55.33,HIGH,device003,,,
2025-07-24 22:20:40,25.11,33.17,NORMAL,device002,,,
2025-07-24 22:20:41,46.37,87.63,HIGH,device003,,,
2025-07-24 22:20:47,25.11,45.4,NORMAL,device002,,,
2025-07-24 22:20:47,29.3,77.55,NORMAL,device003,,,
2025-07-24 22:20:53,45.45,80.19,HIGH,device002,,,
2025-07-24 22:20:53,34.12,36.96,NORMAL,device003,,,
2025-07-24 22:20:59,25.59,31.57,NORMAL,device002,,,
2025-07-24 22:20:59,35.98,79.02,NORMAL,device003,,,
2025-07-24 22:21:05,48.76,32.61,HIGH,device002,,,
2025-07-24 22:21:05,22.41,89.93,NORMAL,device003,,,
2025-07-24 22:21:11,33.06,76.59,NORMAL,device002,,,
2025-07-24 22:21:11,23.18,72.15,NORMAL,device003,,,
2025-07-24 22:21:17,20.72,82.49,NORMAL,device002,,,
2025-07-24 22:21:17,34.83,77.13,NORMAL,device003,,,
2025-07-24 22:21:23,46.54,59.81,HIGH,device002,,,
2025-07-24 22:21:23,20.08,37.11,NORMAL,device003,,,
2025-07-24 22:21:29,40.28,61.63,HIGH,device002,,,
2025-07-24 22:21:29,41.29,45.35,HIGH,device003,,,
2025-07-24 22:21:35,28.32,49.92,NORMAL,device002,,,
2025-07-24 22:21:35,25.17,30.23,NORMAL,device003,,,
2025-07-24 22:21:41,24.84,31.55,NORMAL,device002,,,
2025-07-24 22:21:41,31.51,38.23,NORMAL,device003,,,
2025-07-24 22:21:48,26.25,53.52,NORMAL,device002,,,
2025-07-24 22:21:48,31.96,81.1,NORMAL,device003,,,
2025-07-24 22:21:54,36.28,30.42,NORMAL,device002,,,
2025-07-24 22:21:54,43.83,35.92,HIGH,device003,,,
2025-07-24 22:22:00,27.72,36.82,NORMAL,device002,,,
2025-07-24 22:22:00,24.56,69.16,NORMAL,device003,,,
2025-07-24 22:22:06,26.95,79.92,NORMAL,device002,,,
2025-07-24 22:22:06,41.58,60.26,HIGH,device003,,,
2025-07-24 22:22:12,37.92,85.71,NORMAL,device002,,,
2025-07-24 22:22:12,32.42,75.01,NORMAL,device003,,,
2025-07-24 22:22:18,24.44,51.87,NORMAL,device002,,,
2025-07-24 22:22:18,25.78,80.32,NORMAL,device003,,,
2025-07-24 22:22:25,32.18,61.08,NORMAL,device002,,,
2025-07-24 22:22:25,24.44,73.07,NORMAL,device003,,,
2025-07-24 22:22:31,43.52,89.89,HIGH,device002,,,
2025-07-24 22:22:31,22.8,62.04,NORMAL,device003,,,
2025-07-24 22:22:37,31.65,61.25,NORMAL,device002,,,
2025-07-24 22:22:37,44.46,36.54,HIGH,device003,,,
2025-07-24 22:22:43,20.36,37.54,NORMAL,device002,,,
2025-07-24 22:22:43,35.67,55.35,NORMAL,device003,,,
2025-07-24 22:22:49,26.68,77.79,NORMAL,device002,,,
2025-07-24 22:22:49,21.32,60.43,NORMAL,device003,,,
2025-07-24 22:22:55,39.59,70.48,NORMAL,device002,,,
2025-07-24 22:22:55,48.85,31.01,HIGH,device003,,,
2025-07-24 22:23:02,28.22,71.2,NORMAL,device002,,,
2025-07-24 22:23:02,47.02,34.1,HIGH,device003,,,
2025-07-24 22:23:08,44.41,47.41,HIGH,device002,,,
2025-07-24 22:23:08,42.78,35.18,HIGH,device003,,,
2025-07-24 22:23:08,25.98,74.17,NORMAL,device002,,,
2025-07-24 22:23:08,30.51,87.96,NORMAL,device003,,,
2025-07-24 22:23:13,31.01,59.4,NORMAL,device002,,,
2025-07-24 22:23:13,44.89,88.23,HIGH,device003,,,
2025-07-24 22:23:14,20.71,76.66,NORMAL,device003,,,
2025-07-24 22:23:14,21.69,87.65,NORMAL,device002,,,
2025-07-24 22:23:14,20.71,76.66,NORMAL,device003,,,
2025-07-24 22:23:14,21.69,87.65,NORMAL,device002,,,
2025-07-24 22:23:18,24.16,52.16,NORMAL,device002,,,
2025-07-24 22:23:18,44.46,58.33,HIGH,device003,,,
2025-07-24 22:23:20,43.39,47.62,HIGH,device002,,,
2025-07-24 22:23:21,25.18,33.08,NORMAL,device003,,,
2025-07-24 22:23:21,25.18,33.08,NORMAL,device003,,,
2025-07-24 22:23:24,46.65,66.45,HIGH,device002,,,
2025-07-24 22:23:24,20.88,47.2,NORMAL,device003,,,
2025-07-24 22:23:30,40.07,41.43,HIGH,device003,,,
2025-07-24 22:23:29,24.83,84.07,NORMAL,device002,,,
